sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.2 s;1245.3;;;0;8218.4
1;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;659;;;0;3080.4
2;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.4 s;1229;;;0;8384
2;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.2 s;665.8;;;0;3188.2
3;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.3 s;1227;;;0;8333
3;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;664.3;;;0;3136.6
4;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.1 s;1225.5;;;0;8093.3
4;2;Warm navigation;http://localhost:5000/;99;0.7 s;;;0;3.0 s;657.1;;;0;2978.9
5;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.2 s;1219.9;;;0;8193.4
5;2;Warm navigation;http://localhost:5000/;99;0.7 s;;;0;3.0 s;660.5;;;0;3039.5
6;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.0 s;1236.3;;;0;8031.6
6;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;657.7;;;0;3072.5
7;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.2 s;1225.5;;;0;8159.8
7;2;Warm navigation;http://localhost:5000/;97;0.7 s;;;0;3.7 s;663;;;0;3684.1
8;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.4 s;1215;;;0;8432.1
8;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.3 s;670.5;;;0;3320.2
9;1;Cold navigation;http://localhost:5000/#/home;82;1.2 s;;;0;8.1 s;1213.5;;;0;8103.8
9;2;Warm navigation;http://localhost:5000/;97;0.7 s;;;0;3.6 s;662.3;;;0;3572.1
10;1;Cold navigation;http://localhost:5000/#/home;81;1.2 s;;;0;8.8 s;1221.5;;;0;8767.5
10;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.4 s;666.9;;;0;3366.2
AVG;1;Cold navigation (avg);;82;1.2 s;;;0;8.3 s;1225.8;;;0;8271.7
AVG;2;Warm navigation (avg);;98;0.7 s;;;0;3.2 s;662.7;;;0;3243.9